pNo,condition,study,a,v,bored,effort,fatigue,frustrate,mentaldemand,session
101,control,1,0.13555,0.25,39,47,39,56,40,1
101,deplete,1,0.1288,0.39575,61,61,70,59,61,2
102,control,1,0.11335,0.2433,45,20,16,14,15,2
102,deplete,1,0.13775,0.2661,20,64,61,53,70,1
103,control,1,0.0991,0.19295,70,10,48,38,10,1
103,deplete,1,0.099,0.24035,64,61,46,44,52,2
104,control,1,0.10995,0.3443,11,25,11,12,40,2
104,deplete,1,0.12215,0.26985,58,44,10,45,59,1
105,control,1,0.10935,0.2736,48,32,25,19,40,1
105,deplete,1,0.1114,0.3378,55,51,52,46,48,2
106,control,1,0.1488,0.2609,53,28,35,22,24,2
106,deplete,1,0.1469,0.23185,70,32,29,24,46,1
108,control,1,0.12185,0.29425,49,16,21,14,13,2
108,deplete,1,0.108,0.31135,20,68,22,42,55,1
109,control,1,0.13825,0.2756,35,14,34,16,42,1
109,deplete,1,0.1598,0.2348,60,53,60,60,62,2
11,control,1,0.1521,0.20125,35,17,30,36,44,1
11,deplete,1,0.14315,0.2055,64,46,43,44,44,2
110,control,1,0.1421,0.16435,13,11,20,12,10,2
110,deplete,1,0.1424,0.16295,52,44,37,46,18,1
111,control,1,0.1037,0.32325,17,23,35,21,35,1
111,deplete,1,0.09035,0.3237,37,43,43,35,38,2
112,control,1,0.10555,0.3105,11,19,11,11,22,2
112,deplete,1,0.10175,0.3756,36,46,34,35,43,1
114,control,1,0.1393,0.3649,42,11,15,10,16,2
114,deplete,1,0.16645,0.30755,46,59,57,59,50,1
116,control,1,0.14795,0.3132,70,65,35,23,56,2
116,deplete,1,0.16015,0.23255,70,70,70,70,70,1
117,control,1,0.12325,0.104,61,65,60,19,21,1
117,deplete,1,0.1243,0.0745,70,48,65,53,60,2
118,control,1,0.1149,0.2292,37,42,43,43,52,2
118,deplete,1,0.1156,0.20775,50,43,58,53,47,1
119,control,1,0.11115,0.26265,48,32,23,28,11,1
119,deplete,1,0.0947,0.3139,36,56,48,53,60,2
120,control,1,0.1682,0.30245,59,45,40,25,38,2
120,deplete,1,0.1298,0.2042,68,45,70,67,64,1
121,control,1,0.1329,0.23685,25,11,10,10,11,1
121,deplete,1,0.1415,0.25275,36,50,44,39,46,2
122,control,1,0.12405,0.28575,11,15,11,10,14,2
122,deplete,1,0.1243,0.3393,70,67,50,53,56,1
123,control,1,0.13805,0.19805,48,35,25,24,44,1
123,deplete,1,0.1095,0.1912,59,46,38,60,66,2
124,control,1,0.115,0.21065,28,18,12,20,24,2
124,deplete,1,0.10265,0.22335,43,56,52,29,57,1
125,control,1,0.1223,0.304,60,54,14,45,14,1
125,deplete,1,0.1063,0.35805,69,64,49,64,69,2
126,control,1,0.12885,0.2312,43,22,51,26,41,2
126,deplete,1,0.13525,0.2796,50,42,48,46,42,1
13,control,1,0.15925,0.25315,33,29,14,15,25,1
13,deplete,1,0.10925,0.274,37,57,43,38,62,2
132,control,1,0.1422,0.21785,27,10,10,10,10,2
132,deplete,1,0.1555,0.1965,54,46,42,44,43,1
133,control,1,0.12675,0.34325,70,64,19,25,50,1
133,deplete,1,0.1024,0.26105,48,56,70,64,70,2
136,control,1,0.08765,0.33775,19,19,19,22,24,2
136,deplete,1,0.1138,0.3309,20,39,48,38,49,1
137,control,1,0.10725,0.2095,52,20,22,21,22,1
137,deplete,1,0.0901,0.23655,65,63,65,65,70,2
138,control,1,0.13165,0.22085,19,16,15,25,17,2
138,deplete,1,0.1548,0.2043,44,70,53,50,47,1
139,control,1,0.16385,0.24645,47,43,15,17,31,1
139,deplete,1,0.1511,0.2268,44,66,31,52,68,2
14,control,1,0.13265,0.2678,39,10,10,10,10,2
141,control,1,0.1607,0.18295,64,43,28,37,41,1
141,deplete,1,0.13625,0.19485,70,40,26,54,70,2
142,control,1,0.1322,0.35885,11,10,11,20,14,2
142,deplete,1,0.1411,0.35965,70,47,47,49,45,1
143,control,1,0.1377,0.244,65,53,28,42,21,1
143,deplete,1,0.14045,0.3105,60,44,14,21,61,2
144,control,1,0.12535,0.2777,53,14,10,13,12,2
144,deplete,1,0.1202,0.271,21,41,24,40,70,1
145,control,1,0.11145,0.2087,53,41,26,25,37,1
145,deplete,1,0.1149,0.2189,48,39,39,38,41,2
147,control,1,0.12605,0.2922,21,16,12,13,21,1
147,deplete,1,0.13395,0.3419,48,55,51,47,54,2
148,control,1,0.12015,0.2094,46,19,10,11,17,2
148,deplete,1,0.1667,0.20715,54,69,56,70,70,1
15,control,1,0.15765,0.1857,40,39,42,46,49,1
15,deplete,1,0.15975,0.1811,43,52,60,45,43,2
150,control,1,0.1251,0.2713,10,10,10,10,12,2
150,deplete,1,0.134,0.22865,70,70,70,70,70,1
151,control,1,0.10525,0.1553,60,29,12,20,37,1
151,deplete,1,0.1124,0.146,62,51,35,52,50,2
152,control,1,0.08185,0.26935,11,12,43,28,57,2
152,deplete,1,0.1106,0.2253,51,64,48,24,70,1
153,control,1,0.1142,0.2988,37,18,28,42,45,1
153,deplete,1,0.16795,0.2142,56,41,46,41,41,2
155,control,1,0.1271,0.2313,48,11,11,11,24,1
155,deplete,1,0.12645,0.2713,70,56,61,65,53,2
156,control,1,0.11445,0.2404,57,19,19,17,23,2
156,deplete,1,0.09105,0.15205,70,56,56,55,70,1
157,control,1,0.13095,0.18875,37,26,18,48,51,1
157,deplete,1,0.1205,0.19005,70,32,52,46,34,2
159,control,1,0.12765,0.13265,70,69,11,69,17,1
159,deplete,1,0.11615,0.16425,70,70,70,70,70,2
16,control,1,0.12265,0.25445,39,12,11,11,13,2
160,control,1,0.12535,0.2226,10,10,10,10,10,2
160,deplete,1,0.1438,0.18015,70,43,33,70,43,1
161,control,1,0.13425,0.30505,42,26,38,13,50,1
161,deplete,1,0.10995,0.2609,49,69,52,43,54,2
162,control,1,0.1077,0.21435,66,18,36,17,19,2
162,deplete,1,0.123,0.23035,57,13,33,42,64,1
164,control,1,0.09705,0.2726,45,48,47,64,57,2
164,deplete,1,0.11105,0.354,46,44,49,53,59,1
165,control,1,0.09615,0.2544,10,11,21,61,16,1
165,deplete,1,0.1027,0.3368,58,52,45,56,47,2
168,control,1,0.1418,0.26575,18,20,17,18,24,2
168,deplete,1,0.11665,0.23065,70,43,47,59,24,1
169,control,1,0.1074,0.3,39,13,13,16,14,1
169,deplete,1,0.09355,0.27035,59,59,49,66,66,2
171,control,1,0.09835,0.28395,25,11,10,18,23,1
171,deplete,1,0.0782,0.3201,32,49,57,53,53,2
173,control,1,0.1546,0.14525,48,41,45,23,29,1
173,deplete,1,0.1493,0.2068,65,33,56,47,54,2
174,control,1,0.1171,0.3398,10,27,11,16,44,2
174,deplete,1,0.0883,0.3383,41,39,40,36,43,1
176,control,1,0.1217,0.23545,35,34,42,10,44,2
176,deplete,1,0.14125,0.17425,70,35,48,70,52,1
177,control,1,0.14035,0.2664,56,19,60,23,35,1
177,deplete,1,0.12775,0.3081,54,47,49,52,67,2
178,control,1,0.14065,0.25025,51,10,12,52,22,2
178,deplete,1,0.10795,0.16995,70,52,47,69,29,1
179,control,1,0.12605,0.21485,30,17,15,29,30,1
179,deplete,1,0.12655,0.2179,49,25,42,50,24,2
183,control,1,0.11445,0.2521,70,11,70,61,36,1
183,deplete,1,0.08215,0.26,70,55,70,70,52,2
184,control,1,0.0939,0.2226,17,30,11,11,17,2
184,deplete,1,0.1096,0.2846,35,53,29,43,46,1
185,control,1,0.1227,0.2257,45,23,10,32,20,1
185,deplete,1,0.10225,0.2451,70,70,70,70,70,2
186,control,1,0.10775,0.08975,25,14,14,16,19,2
186,deplete,1,0.1304,0.1153,55,56,61,48,50,1
189,control,1,0.1123,0.2098,46,20,35,21,17,1
189,deplete,1,0.0953,0.2855,51,41,67,52,29,2
193,control,1,0.13285,0.1894,14,12,10,22,52,1
193,deplete,1,0.14315,0.20175,58,46,54,49,48,2
194,control,1,0.1484,0.33805,40,13,16,17,17,2
194,deplete,1,0.1335,0.26455,37,42,42,42,38,1
195,control,1,0.12345,0.26675,50,42,41,18,43,1
195,deplete,1,0.10795,0.3614,62,34,36,44,66,2
196,control,1,0.17325,0.27145,34,46,10,58,40,2
196,deplete,1,0.1321,0.2916,68,53,10,54,70,1
197,control,1,0.1026,0.34595,57,13,37,11,12,1
197,deplete,1,0.1047,0.4046,25,66,57,59,66,2
198,control,1,0.1181,0.28255,40,13,24,17,18,2
198,deplete,1,0.1301,0.2757,56,44,45,36,49,1
199,control,1,0.14145,0.35465,39,22,15,16,15,1
199,deplete,1,0.0948,0.31905,45,46,15,20,52,2
200,control,1,0.12725,0.23575,24,13,12,12,19,2
200,deplete,1,0.14035,0.21145,38,48,55,54,70,1
201,control,1,0.1009,0.33965,32,28,45,20,46,1
201,deplete,1,0.10705,0.2867,64,51,50,51,58,2
202,control,1,0.1264,0.3378,34,14,11,14,20,2
202,deplete,1,0.11335,0.3238,70,44,26,33,30,1
203,control,1,0.11955,0.27855,70,20,48,19,12,1
203,deplete,1,0.09895,0.23675,70,44,70,33,53,2
204,control,1,0.10755,0.26525,68,58,51,42,30,2
204,deplete,1,0.16075,0.1593,70,64,66,64,66,1
205,control,1,0.13715,0.32185,13,13,11,13,19,1
205,deplete,1,0.12295,0.26025,23,41,33,43,47,2
207,control,1,0.1033,0.2919,36,17,14,33,20,1
207,deplete,1,0.0957,0.33525,41,53,52,62,57,2
208,control,1,0.12215,0.31595,10,10,11,10,10,2
208,deplete,1,0.15005,0.26815,43,42,42,47,43,1
209,control,1,0.12955,0.29825,11,18,11,11,26,1
209,deplete,1,0.10515,0.274,52,44,49,31,57,2
21,control,1,0.12435,0.2656,45,16,19,11,18,1
21,deplete,1,0.10865,0.30975,29,56,43,31,57,2
210,control,1,0.12985,0.2881,23,30,43,43,18,2
210,deplete,1,0.11425,0.19345,58,46,57,48,52,1
211,control,1,0.10895,0.33485,48,52,29,29,54,1
211,deplete,1,0.0983,0.2848,37,44,29,28,64,2
212,control,1,0.10585,0.32535,62,14,44,46,22,2
212,deplete,1,0.08205,0.32875,55,45,45,44,52,1
213,control,1,0.13555,0.31505,31,36,28,37,47,1
213,deplete,1,0.1214,0.3078,42,51,45,43,48,2
214,control,1,0.14555,0.27575,16,14,12,14,15,2
214,deplete,1,0.1282,0.2049,42,50,37,48,43,1
215,control,1,0.0816,0.3711,33,17,10,10,11,1
215,deplete,1,0.0923,0.285,70,48,10,11,70,2
216,control,1,0.13165,0.3223,41,33,26,10,26,2
216,deplete,1,0.1023,0.3251,44,47,51,47,54,1
217,control,1,0.14445,0.21155,26,14,28,21,57,1
217,deplete,1,0.0957,0.2424,61,65,66,68,61,2
218,control,1,0.12685,0.2999,14,12,14,13,12,2
218,deplete,1,0.1096,0.29525,40,70,70,70,70,1
220,control,1,0.0758,0.37415,55,14,67,54,14,2
220,deplete,1,0.0838,0.30835,58,65,61,67,51,1
221,control,1,0.13855,0.2612,38,10,10,10,14,1
221,deplete,1,0.1241,0.3235,70,55,29,12,63,2
222,control,1,0.0979,0.35105,35,16,29,16,18,2
222,deplete,1,0.1155,0.37365,23,48,47,31,56,1
223,control,1,0.13215,0.2205,19,40,31,11,34,1
223,deplete,1,0.1071,0.1752,66,29,70,56,60,2
224,control,1,0.12675,0.31745,41,14,14,19,25,2
224,deplete,1,0.14335,0.26355,70,39,44,48,24,1
225,control,1,0.1036,0.25685,10,23,10,17,55,1
225,deplete,1,0.1041,0.2544,44,35,42,30,54,2
226,control,1,0.138,0.21725,49,25,10,25,26,2
