pNo,condition,study,sessionOrder,congruency,rtOverall,accOverall,rt,acc,rtCorrect,session
101,control,1,control-deplete,congruent,0.746335329341317,0.958083832335329,0.693948717948718,1,0.693948717948718,1
101,control,1,control-deplete,incongruent,0.746335329341317,0.958083832335329,0.86892,0.86,0.881418604651163,1
101,deplete,1,control-deplete,congruent,0.663425287356322,1,0.602571428571429,1,0.602571428571429,2
101,deplete,1,control-deplete,incongruent,0.663425287356322,1,0.795090909090909,1,0.795090909090909,2
102,control,1,deplete-control,congruent,0.6408125,0.9375,0.603739495798319,0.983193277310924,0.601564102564103,2
102,control,1,deplete-control,incongruent,0.6408125,0.9375,0.71821052631579,0.842105263157895,0.713916666666667,2
102,deplete,1,deplete-control,congruent,0.754921212121212,0.975757575757576,0.721239316239316,0.991452991452991,0.722043103448276,1
102,deplete,1,deplete-control,incongruent,0.754921212121212,0.975757575757576,0.837020833333333,0.9375,0.842866666666667,1
103,control,1,control-deplete,congruent,0.549930555555556,0.875,0.53489898989899,0.949494949494949,0.538063829787234,1
103,control,1,control-deplete,incongruent,0.549930555555556,0.875,0.583,0.711111111111111,0.58915625,1
103,deplete,1,control-deplete,congruent,0.552752293577982,0.91743119266055,0.529552631578947,0.921052631578947,0.537628571428571,2
103,deplete,1,control-deplete,incongruent,0.552752293577982,0.91743119266055,0.606181818181818,0.909090909090909,0.611,2
104,control,1,deplete-control,congruent,0.592415584415584,0.980519480519481,0.5695,1,0.5695,2
104,control,1,deplete-control,incongruent,0.592415584415584,0.980519480519481,0.667527777777778,0.916666666666667,0.665818181818182,2
104,deplete,1,deplete-control,congruent,0.6361125,0.95625,0.618059322033898,1,0.618059322033898,1
104,deplete,1,deplete-control,incongruent,0.6361125,0.95625,0.686833333333333,0.833333333333333,0.679914285714286,1
105,control,1,control-deplete,congruent,0.577183544303798,0.955696202531646,0.563459459459459,0.981981981981982,0.564385321100918,1
105,control,1,control-deplete,incongruent,0.577183544303798,0.955696202531646,0.609595744680851,0.893617021276596,0.619428571428571,1
105,deplete,1,control-deplete,congruent,0.593826923076923,0.974358974358974,0.573301886792453,1,0.573301886792453,2
105,deplete,1,control-deplete,incongruent,0.593826923076923,0.974358974358974,0.63734,0.92,0.637239130434783,2
106,control,1,deplete-control,congruent,0.773737142857143,0.977142857142857,0.71546218487395,1,0.71546218487395,2
106,control,1,deplete-control,incongruent,0.773737142857143,0.977142857142857,0.897571428571429,0.928571428571429,0.894346153846154,2
106,deplete,1,deplete-control,congruent,0.765977011494253,0.954022988505747,0.721991452991453,1,0.721991452991453,1
106,deplete,1,deplete-control,incongruent,0.765977011494253,0.954022988505747,0.856263157894737,0.859649122807018,0.861408163265306,1
108,control,1,deplete-control,congruent,0.543423312883436,0.975460122699386,0.513290598290598,0.982905982905983,0.514504347826087,2
108,control,1,deplete-control,incongruent,0.543423312883436,0.975460122699386,0.620065217391304,0.956521739130435,0.621863636363636,2
108,deplete,1,deplete-control,congruent,0.5549125,0.96875,0.547412280701754,0.973684210526316,0.544900900900901,1
108,deplete,1,deplete-control,incongruent,0.5549125,0.96875,0.5735,0.956521739130435,0.575454545454545,1
109,control,1,control-deplete,congruent,0.689745454545455,0.975757575757576,0.636417391304348,1,0.636417391304348,1
109,control,1,control-deplete,incongruent,0.689745454545455,0.975757575757576,0.8124,0.92,0.808847826086956,1
109,deplete,1,control-deplete,congruent,0.766825,0.975,0.736339285714286,1,0.736339285714286,2
109,deplete,1,control-deplete,incongruent,0.766825,0.975,0.837958333333333,0.916666666666667,0.846545454545455,2
11,control,1,control-deplete,congruent,0.909779069767442,0.959302325581395,0.833889830508475,0.974576271186441,0.823591304347826,1
11,control,1,control-deplete,incongruent,0.909779069767442,0.959302325581395,1.07561111111111,0.925925925925926,1.07214,1
11,deplete,1,control-deplete,congruent,0.768163742690058,0.953216374269006,0.696678260869565,0.973913043478261,0.697169642857143,2
11,deplete,1,control-deplete,incongruent,0.768163742690058,0.953216374269006,0.914964285714286,0.910714285714286,0.878372549019608,2
110,control,1,deplete-control,congruent,0.786813953488372,0.912790697674419,0.748966666666667,0.916666666666667,0.750181818181818,2
110,control,1,deplete-control,incongruent,0.786813953488372,0.912790697674419,0.874153846153846,0.903846153846154,0.854510638297872,2
110,deplete,1,deplete-control,congruent,0.812339285714286,0.916666666666667,0.777350877192983,0.93859649122807,0.773523364485981,1
110,deplete,1,deplete-control,incongruent,0.812339285714286,0.916666666666667,0.886203703703704,0.87037037037037,0.895489361702128,1
111,control,1,control-deplete,congruent,0.544490683229814,0.968944099378882,0.533095652173913,0.973913043478261,0.534705357142857,1
111,control,1,control-deplete,incongruent,0.544490683229814,0.968944099378882,0.572978260869565,0.956521739130435,0.575590909090909,1
111,deplete,1,control-deplete,congruent,0.504656441717791,0.950920245398773,0.49370796460177,0.982300884955752,0.494540540540541,2
111,deplete,1,control-deplete,incongruent,0.504656441717791,0.950920245398773,0.5294,0.88,0.5275,2
112,control,1,deplete-control,congruent,0.531022727272727,0.965909090909091,0.521260504201681,0.974789915966386,0.523672413793103,2
112,control,1,deplete-control,incongruent,0.531022727272727,0.965909090909091,0.55140350877193,0.947368421052632,0.546,2
112,deplete,1,deplete-control,congruent,0.518651162790698,0.976744186046512,0.522965517241379,0.974137931034483,0.523681415929204,1
112,deplete,1,deplete-control,incongruent,0.518651162790698,0.976744186046512,0.509714285714286,0.982142857142857,0.510490909090909,1
114,control,1,deplete-control,congruent,0.71324,1,0.635924369747899,1,0.635924369747899,2
114,control,1,deplete-control,incongruent,0.71324,1,0.877535714285714,1,0.877535714285714,2
114,deplete,1,deplete-control,congruent,0.791167597765363,1,0.70645,1,0.70645,1
114,deplete,1,deplete-control,incongruent,0.791167597765363,1,0.963474576271187,1,0.963474576271187,1
116,control,1,deplete-control,congruent,0.702640243902439,0.99390243902439,0.669796460176991,1,0.669796460176991,2
116,control,1,deplete-control,incongruent,0.702640243902439,0.99390243902439,0.775411764705882,0.980392156862745,0.76904,2
116,deplete,1,deplete-control,congruent,0.771662721893491,0.976331360946746,0.724113043478261,0.991304347826087,0.720333333333333,1
116,deplete,1,deplete-control,incongruent,0.771662721893491,0.976331360946746,0.872925925925926,0.944444444444444,0.864117647058824,1
117,control,1,control-deplete,congruent,0.81459880239521,0.81437125748503,0.769612068965517,0.913793103448276,0.787405660377359,1
117,control,1,control-deplete,incongruent,0.81459880239521,0.81437125748503,0.916921568627451,0.588235294117647,0.826433333333333,1
117,deplete,1,control-deplete,congruent,0.81825,0.738636363636364,0.741067226890756,0.949579831932773,0.744628318584071,2
117,deplete,1,control-deplete,incongruent,0.81825,0.738636363636364,0.979385964912281,0.298245614035088,0.973058823529412,2
118,control,1,deplete-control,congruent,0.594364161849711,0.92485549132948,0.577521008403361,0.915966386554622,0.586211009174312,2
118,control,1,deplete-control,incongruent,0.594364161849711,0.92485549132948,0.631481481481482,0.944444444444444,0.625019607843137,2
118,deplete,1,deplete-control,congruent,0.672697674418605,0.924418604651163,0.66134188034188,0.948717948717949,0.661279279279279,1
118,deplete,1,deplete-control,incongruent,0.672697674418605,0.924418604651163,0.696854545454545,0.872727272727273,0.697166666666667,1
119,control,1,control-deplete,congruent,0.58475,0.951219512195122,0.563683760683761,0.982905982905983,0.565252173913044,1
119,control,1,control-deplete,incongruent,0.58475,0.951219512195122,0.637191489361702,0.872340425531915,0.636756097560976,1
119,deplete,1,control-deplete,congruent,0.527553672316384,0.954802259887006,0.5132,0.975,0.514282051282051,2
119,deplete,1,control-deplete,incongruent,0.527553672316384,0.954802259887006,0.557771929824561,0.912280701754386,0.558903846153846,2
120,control,1,deplete-control,congruent,0.721109195402299,1,0.658008547008547,1,0.658008547008547,2
120,control,1,deplete-control,incongruent,0.721109195402299,1,0.850631578947368,1,0.850631578947368,2
120,deplete,1,deplete-control,congruent,0.790573033707865,0.938202247191011,0.714067226890756,0.949579831932773,0.710796460176991,1
120,deplete,1,deplete-control,incongruent,0.790573033707865,0.938202247191011,0.944881355932203,0.915254237288136,0.951407407407407,1
121,control,1,control-deplete,congruent,0.820880681818182,0.960227272727273,0.751159663865546,0.983193277310924,0.747623931623932,1
121,control,1,control-deplete,incongruent,0.820880681818182,0.960227272727273,0.966438596491228,0.912280701754386,0.999615384615385,1
121,deplete,1,control-deplete,congruent,0.826127167630058,0.971098265895954,0.770222222222222,0.991452991452991,0.768672413793103,2
121,deplete,1,control-deplete,incongruent,0.826127167630058,0.971098265895954,0.942928571428572,0.928571428571429,0.95375,2
122,control,1,deplete-control,congruent,0.652859649122807,0.970760233918129,0.622533898305085,0.991525423728813,0.624769230769231,2
122,control,1,deplete-control,incongruent,0.652859649122807,0.970760233918129,0.720377358490566,0.924528301886792,0.718816326530612,2
122,deplete,1,deplete-control,congruent,0.619515527950311,0.987577639751553,0.597017543859649,1,0.597017543859649,1
122,deplete,1,deplete-control,incongruent,0.619515527950311,0.987577639751553,0.674085106382979,0.957446808510638,0.674822222222222,1
123,control,1,control-deplete,congruent,0.723262857142857,0.937142857142857,0.688083333333333,0.983333333333333,0.687372881355932,1
123,control,1,control-deplete,incongruent,0.723262857142857,0.937142857142857,0.800018181818182,0.836363636363636,0.805782608695652,1
123,deplete,1,control-deplete,congruent,0.679353293413174,0.898203592814371,0.660265486725664,0.920353982300885,0.662201923076923,2
123,deplete,1,control-deplete,incongruent,0.679353293413174,0.898203592814371,0.719296296296296,0.851851851851852,0.711978260869565,2
124,control,1,deplete-control,congruent,0.727203592814371,0.922155688622755,0.696112068965517,0.974137931034483,0.697185840707965,2
124,control,1,deplete-control,incongruent,0.727203592814371,0.922155688622755,0.797921568627451,0.803921568627451,0.808682926829268,2
124,deplete,1,deplete-control,congruent,0.6529875,0.9125,0.637918918918919,0.972972972972973,0.640583333333333,1
124,deplete,1,deplete-control,incongruent,0.6529875,0.9125,0.687122448979592,0.775510204081633,0.695421052631579,1
125,control,1,control-deplete,congruent,0.556536144578313,0.975903614457831,0.536078260869565,0.991304347826087,0.537570175438597,1
125,control,1,control-deplete,incongruent,0.556536144578313,0.975903614457831,0.602666666666667,0.941176470588235,0.608583333333333,1
125,deplete,1,control-deplete,congruent,0.528343195266272,0.976331360946746,0.513146551724138,0.974137931034483,0.51358407079646,2
125,deplete,1,control-deplete,incongruent,0.528343195266272,0.976331360946746,0.561603773584906,0.981132075471698,0.56275,2
126,control,1,deplete-control,congruent,0.669238372093023,0.953488372093023,0.625264957264957,0.957264957264957,0.624357142857143,2
126,control,1,deplete-control,incongruent,0.669238372093023,0.953488372093023,0.762781818181818,0.945454545454546,0.782038461538462,2
